GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk,g20201103,p20200804,r20200714,s20200707,r20200707,r20200630,s20200623,pp20200310,s20200204,s20200121,s20191105,s20190820,r20190604,r20190521,g20181106,r20180911,p20180807,g20161108,p20160802,pp20160315,g20141104,p20140805,g20121106,p20120807,pp20120207,g20101102,p20100803
29051000041,051,000041,1129,18,82,64,65,152,194,268,173,90,23,832,87,210,0,0,943,14,3,1,1,167,943,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,939,493,0,0,0,0,0,250,0,0,1,0,0,0,767,0,495,842,450,480,507,386,730,280,99,596,364
29051000042,051,000042,564,4,36,47,36,90,101,95,110,35,10,397,46,121,0,0,480,9,0,2,3,70,480,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,70,459,229,0,0,0,0,0,131,0,0,0,0,0,0,374,0,236,412,207,220,240,174,367,136,53,272,174
29051000043,051,000043,272,4,23,14,21,47,38,50,50,17,8,164,40,68,0,0,240,1,2,0,0,29,240,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,201,82,0,0,0,0,0,55,0,0,0,0,0,0,174,0,98,179,81,91,97,58,151,57,30,115,79
29051000044,051,000044,497,11,49,37,37,67,104,90,64,32,6,376,63,58,0,0,403,3,0,3,0,88,403,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,88,413,213,0,0,0,0,0,83,0,0,0,0,0,0,317,0,235,363,166,161,231,193,330,136,26,264,165
29051000045,051,000045,148,1,11,10,13,33,29,19,18,6,8,92,13,43,0,0,115,1,0,0,0,32,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,123,65,0,0,0,0,0,29,0,0,0,0,0,0,105,0,76,112,48,46,75,55,103,47,15,85,46
29051000046,051,000046,2169,33,193,155,111,376,410,417,311,128,34,1592,200,377,0,0,1668,27,2,9,11,452,1668,2,27,4,6,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,452,1784,809,0,0,0,0,0,395,40,0,2,0,0,0,1437,0,889,1551,704,741,859,660,1391,458,158,1078,629
29051000049,051,000049,1640,28,137,118,121,262,290,316,242,98,28,1255,147,238,0,0,1322,10,0,3,9,296,1322,0,10,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,296,1352,637,0,0,0,0,0,274,0,0,8,0,0,0,1068,0,665,1198,574,531,675,547,1054,380,125,846,513
29051000050,051,000050,1137,40,107,61,67,213,227,192,121,80,29,848,102,187,0,0,929,16,2,2,3,185,929,2,16,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,185,944,517,0,0,0,0,0,174,0,0,1,0,0,0,746,0,477,814,436,376,492,381,749,251,105,575,369
29051000051,051,000051,23,0,2,0,1,9,2,3,1,3,2,21,0,2,0,0,18,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,8,0,0,0,0,0,1,0,0,0,0,0,0,15,0,6,15,8,7,9,6,15,7,0,7,5
29051000052,051,000052,19,0,0,0,2,0,2,3,2,3,7,5,4,10,0,0,18,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,8,0,0,0,0,0,6,0,0,1,0,0,0,13,0,6,16,10,9,7,9,16,8,2,12,7
